Date,KOSPI_Now,filter_smo,wrapper_smo,filter_linear,wrapper_linear,filter_mlp,wrapper_mlp,filter_gaussian,wrapper_gaussian
2016.3.31,1995.85,        802      -1.1163      -0.6109       0.5054,        802      -1.1163      -1.8465      -0.7301,        802      -1.1163      -0.8813        0.235,        802      -1.1163      -1.5576      -0.4413,        802      -1.1163      -1.5365      -0.4202,        802      -1.1163      -2.0178      -0.9015,        802      -1.1163      -0.5759       0.5405,        802      -1.1163      -0.4262       0.6902
2016.4.1,1973.57,        803       0.2736       0.0281      -0.2455,        803       0.2736       0.2666      -0.0071,        803       0.2736       0.0146       -0.259,        803       0.2736       0.2091      -0.0645,        803       0.2736      -1.6015      -1.8751,        803       0.2736      -2.8879      -3.1615,        803       0.2736       0.0148      -0.2588,        803       0.2736      -0.2077      -0.4813
2016.4.4,1978.97,        804      -0.8201      -0.6164       0.2037,        804      -0.8201      -0.6146       0.2055,        804      -0.8201      -0.7557       0.0644,        804      -0.8201      -1.4151       -0.595,        804      -0.8201       -2.965      -2.1448,        804      -0.8201      -7.8018      -6.9817,        804      -0.8201      -0.4086       0.4115,        804      -0.8201      -0.6162       0.2039
2016.4.5,1962.74,        805       0.4371         0.05      -0.3871,        805       0.4371      -0.3462      -0.7834,        805       0.4371      -0.0122      -0.4493,        805       0.4371       0.3489      -0.0883,        805       0.4371      -0.2938      -0.7309,        805       0.4371      -1.0199      -1.4571,        805       0.4371      -0.1472      -0.5844,        805       0.4371      -0.0964      -0.5335
2016.4.6,1971.32,        806       0.1304       0.2856       0.1552,        806       0.1304       0.1713       0.0409,        806       0.1304       0.3301       0.1997,        806       0.1304       0.1037      -0.0267,        806       0.1304      -0.0979      -0.2283,        806       0.1304      -2.1394      -2.2697,        806       0.1304       0.1697       0.0393,        806       0.1304       0.0606      -0.0698
2016.4.7,1973.89,        807      -0.0932      -0.0967      -0.0035,        807      -0.0932      -0.3632        -0.27,        807      -0.0932       0.0093       0.1025,        807      -0.0932      -0.1902       -0.097,        807      -0.0932      -0.6121      -0.5189,        807      -0.0932      -1.3327      -1.2394,        807      -0.0932      -0.0606       0.0327,        807      -0.0932      -0.0943      -0.0011
2016.4.8,1972.05,        808      -0.0852       0.5705       0.6556,        808      -0.0852       0.3536       0.4388,        808      -0.0852       0.4088        0.494,        808      -0.0852       0.0955       0.1807,        808      -0.0852      -0.7465      -0.6613,        808      -0.0852       0.0414       0.1266,        808      -0.0852       0.3503       0.4355,        808      -0.0852       0.6173       0.7025
2016.4.11,1970.37,        809       0.5557       0.5565       0.0008,        809       0.5557       1.8064       1.2507,        809       0.5557       0.7148       0.1591,        809       0.5557       1.6462       1.0905,        809       0.5557        0.889       0.3333,        809       0.5557       0.0511      -0.5046,        809       0.5557       0.2581      -0.2976,        809       0.5557       0.4924      -0.0633
2016.4.12,1981.32,        810       1.7468       1.0669      -0.6799,        810       1.7468       0.6293      -1.1175,        810       1.7468       1.4554      -0.2915,        810       1.7468       0.2154      -1.5315,        810       1.7468        0.374      -1.3728,        810       1.7468      -4.4253      -6.1721,        810       1.7468       0.9298       -0.817,        810       1.7468       0.7826      -0.9642
2016.4.14,2015.93,        811      -0.0605      -0.1146      -0.0541,        811      -0.0605       0.0922       0.1527,        811      -0.0605       0.1141       0.1747,        811      -0.0605       0.2027       0.2632,        811      -0.0605      -0.8079      -0.7474,        811      -0.0605      -0.3297      -0.2692,        811      -0.0605      -0.0011       0.0594,        811      -0.0605       0.1124       0.1729
