@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute MOEX_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2017-07-11, 2396.0, 1925.74, 1912.76, 1928.1, 1908.99, 10509.5, 10525.4, 10535.9, 10451.4, 21190.67, 21140.15, 21210.93, 21086.67, 15105.28, 15013.76, 15138.2, 14987.76, 3854.78, 3838.45
2017-07-12, 2391.77, 1937.64, 1927.34, 1938.11, 1919.19, 10449.1, 10531.5, 10536.9, 10438.8, 21111.7, 21217.22, 21302.58, 21078.17, 15149.14, 15100.6, 15149.14, 15033.72, 3859.31, 3819.13
2017-07-13, 2409.49, 1954.39, 1938.36, 1957.02, 1938.36, 10560.4, 10482.2, 10580.5, 10470.5, 21432.55, 21193.49, 21459.96, 21187.8, 15143.99, 15215.83, 15297.04, 15137.98, 3879.63, 3831.59
2017-07-14, 2414.63, 1959.91, 1951.66, 1963.37, 1946.61, 10658.3, 10594.5, 10674.1, 10583.1, 21521.91, 21448.84, 21530.05, 21394.55, 15135.0, 15147.35, 15159.67, 15113.06, 3910.18, 3874.58
2017-07-17, 2425.1, 1960.69, 1959.86, 1967.6, 1955.09, 10655.1, 10664.6, 10704.3, 10619.3, 21492.29, 21523.59, 21561.48, 21392.76, 15174.81, 15158.42, 15208.39, 15130.06, 3907.06, 3889.06
2017-07-18, 2426.04, 1959.11, 1963.29, 1972.49, 1949.55, 10651.2, 10665.5, 10670.3, 10604.2, 21484.84, 21504.72, 21571.43, 21449.18, 15165.36, 15186.31, 15209.29, 15155.43, 3917.62, 3889.06
2017-07-19, 2429.94, 1947.71, 1956.56, 1966.86, 1944.81, 10524.5, 10616.0, 10684.6, 10511.5, 21358.2, 21419.29, 21538.99, 21293.03, 15149.57, 15159.58, 15159.58, 15086.3, 3909.56, 3862.22
2017-07-20, 2441.84, 1951.89, 1929.67, 1951.89, 1925.7, 10588.1, 10533.9, 10588.1, 10456.1, 21478.95, 21403.97, 21478.95, 21333.68, 15244.71, 15162.4, 15257.92, 15161.4, 3901.39, 3872.64
2017-07-21, 2450.06, 1946.51, 1952.1, 1959.33, 1941.38, 10564.8, 10597.4, 10627.2, 10534.8, 21438.63, 21526.92, 21592.82, 21403.32, 15264.64, 15281.03, 15319.22, 15224.77, 3927.5, 3891.12
2017-07-24, 2451.53, 1925.13, 1946.19, 1946.19, 1921.0, 10426.6, 10530.7, 10562.8, 10381.2, 21202.16, 21426.78, 21469.14, 21149.58, 15183.13, 15234.69, 15237.51, 15134.74, 3910.47, 3869.87
2017-07-25, 2439.9, 1931.75, 1921.52, 1934.25, 1914.6, 10446.5, 10432.0, 10480.2, 10368.1, 21326.58, 21190.86, 21364.94, 21149.29, 15128.69, 15170.45, 15170.45, 15082.91, 3888.95, 3855.64
2017-07-26, 2434.51, 1923.73, 1931.92, 1936.25, 1913.24, 10523.4, 10451.2, 10621.3, 10446.2, 21457.45, 21348.75, 21569.35, 21348.75, 15202.37, 15199.28, 15275.95, 15178.74, 3920.98, 3874.45
2017-07-27, 2443.24, 1933.1, 1928.13, 1938.56, 1923.9, 10575.4, 10523.8, 10584.6, 10508.5, 21577.56, 21497.18, 21577.56, 21452.64, 15171.39, 15228.37, 15247.25, 15166.9, 3954.08, 3907.14
2017-07-28, 2400.99, 1945.12, 1935.12, 1945.12, 1935.12, 10603.4, 10549.3, 10652.9, 10544.4, 21634.72, 21536.4, 21690.61, 21512.86, 15191.36, 15218.59, 15232.78, 15070.84, 3994.3, 3965.52
2017-07-31, 2402.71, 1916.75, 1940.79, 1940.79, 1904.26, 10536.1, 10574.4, 10577.3, 10497.7, 21430.36, 21561.96, 21572.5, 21383.98, 15128.65, 15111.49, 15153.45, 15089.39, 3971.13, 3926.82
